id;name;child_ids
27;"[{""nl"" : ""Eerste hulp bij ongevallen""}, {""en"" : ""Human support""}, {""fr"" : ""Défenseur humanitaire""}, {""de"" : ""Menschliche Unterstützung""}, {""es"" : ""Apoyo humano""}, {""ca"" : ""Suport humà""}]";[30]
28;"[{""nl"" : ""Techische hulp""}, {""en"" : ""Technical support""}, {""fr"" : ""Aide technique""}, {""de"" : ""Technische Stütztierunterstützung""}, {""es"" : ""Apoyo técnico""}, {""ca"" : ""suport tècnic""}]";[33, 34, 36, 37, 41, 395]
29;"[{""fr"" : ""Défenseur d'animaux""}, {""de"" : ""Tierunterstützung""}, {""es"" : ""Apoyo animal""}, {""ca"" : ""suport animal""}, {""nl"" : ""Hulp voor dieren""}, {""en"" : ""Animal support""}]";
30;"[{""nl"" : ""EHBO""}, {""en"" : ""First aid""}, {""fr"" : ""EHBO""}, {""de"" : ""ERSTE HILFE""}, {""es"" : ""Primeros auxilios""}, {""ca"" : ""Primers auxilis""}]";
32;"[{""nl"" : ""Ziekenhuis""}, {""en"" : ""Hospital""}, {""fr"" : ""Hôpital""}, {""de"" : ""Krankenhaus""}, {""es"" : ""Hospital""}, {""ca"" : ""Hospital""}]";
33;"[{""nl"" : ""Luchtpomp""}, {""en"" : ""Air-pump""}, {""fr"" : ""Pompe à air""}, {""de"" : ""Luft-Pumpe""}, {""es"" : ""Bomba de aire""}, {""ca"" : ""Bomba d'aire""}]";
34;"[{""nl"" : ""Fietswinkel""}, {""en"" : ""Bicycle shop""}, {""fr"" : ""Magazin de bicyclettes""}, {""de"" : ""Fahrradgeschäft""}, {""es"" : ""Tienda de bicicletas""}, {""ca"" : ""Botiga de bicicletes""}]";
36;"[{""nl"" : ""Garage""}, {""en"" : ""Garage""}, {""fr"" : ""Garage""}, {""de"" : ""Garage""}, {""es"" : ""Taller mecánico""}, {""ca"" : ""Taller mecànic""}]";
37;"[{""nl"" : ""Motorwinkel""}, {""en"" : ""Motor-bike shop""}, {""fr"" : ""Magazin pour vente de motos""}, {""de"" : ""Motorradgeschäft""}, {""es"" : ""Tienda de motos""}, {""ca"" : ""Botiga de motos""}]";
38;"[{""nl"" : ""Motel""}, {""en"" : ""Motel""}, {""fr"" : ""Môtel""}, {""de"" : ""Motel""}, {""es"" : ""Motel""}, {""ca"" : ""Motel""}]";
39;"[{""nl"" : ""Jeugdherberg""}, {""en"" : ""Youthhostel""}, {""fr"" : ""Auberge de jeunesse""}, {""de"" : ""Youthhostel""}, {""es"" : ""Albergue juvenil""}, {""ca"" : ""Alberg juvenil""}]";
40;"[{""fr"" : ""col""}, {""de"" : ""Gebirgspass""}, {""es"" : ""Puerto de montaña""}, {""ca"" : ""Coll""}, {""nl"" : ""Pas""}, {""en"" : ""Pass""}]";
41;"[{""nl"" : ""Benzinestation""}, {""en"" : ""Petrolstation""}, {""fr"" : ""Station benzine""}, {""de"" : ""Petrolstation""}, {""es"" : ""Gasolinera""}, {""ca"" : ""Benzinera""}]";
43;"[{""nl"" : ""Transport""}, {""en"" : ""Transport""}, {""fr"" : ""Transport""}, {""de"" : ""Transport""}, {""es"" : ""Transporte""}, {""ca"" : ""Transport""}]";[2, 3, 36, 44, 46, 47, 48, 49, 50, 51, 53, 71, 72, 73, 116, 118, 119, 120, 121, 122, 144, 152, 154, 174, 185, 188, 191, 193, 239, 241, 242, 243, 246, 288, 294, 301, 323, 345, 351, 368, 373, 376, 395, 398, 399, 401, 418, 426, 432, 448, 453, 463, 471, 474, 480, 481, 498, 499, 516, 565]
44;"[{""nl"" : ""Openbaar vervoer""}, {""en"" : ""Public transport""}, {""fr"" : ""Transport en commun""}, {""de"" : ""Öffentlicher Verkehr""}, {""es"" : ""Transporte público""}, {""ca"" : ""Transport públic""}]";[46, 47, 48, 49]
46;"[{""nl"" : ""Bushalte""}, {""en"" : ""Busstop""}, {""fr"" : ""Arrêt de bus""}, {""de"" : ""Busstop""}, {""es"" : ""Parada de autobús""}, {""ca"" : ""Parada d'autobús""}]";
47;"[{""nl"" : ""Metrostation""}, {""en"" : ""Metrostation""}, {""fr"" : ""Station de métro""}, {""de"" : ""Metrostation""}, {""es"" : ""Estación de metro""}, {""ca"" : ""Estació de metro""}]";
